#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,exchange,symbol,timeframe
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-26T12:58:32.838Z,117768.62444444443,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-26T17:46:42.84Z,118062.16399999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-26T22:34:52.842Z,118040.68600000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-27T03:23:02.844Z,118058.61333333334,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-27T08:11:12.846Z,118197.621,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-27T12:59:22.848Z,118051.26999999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-27T17:47:32.85Z,118714.076,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-27T22:35:42.852Z,119140.28699999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-28T03:23:52.854Z,119370.56777777776,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-28T08:12:02.856Z,119249.071,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-28T13:00:12.858Z,118831.32100000003,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-28T17:48:22.86Z,118125.77777777778,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-28T22:36:32.862Z,117923.99000000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-29T03:24:42.864Z,118065.63777777778,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-29T08:12:52.866Z,118758.56399999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-29T13:01:02.868Z,118749.47,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-29T17:49:12.87Z,117823.02666666667,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-29T22:37:22.872Z,117594.21599999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-30T03:25:32.874Z,117872.15333333332,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-30T08:13:42.876Z,118143.371,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-30T13:01:52.878Z,117942.009,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-30T17:50:02.88Z,117936.60111111113,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-30T22:38:12.882Z,117104.51100000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-31T03:26:22.884Z,118148.54333333335,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-31T08:14:32.886Z,118535.14100000002,close,prices,binance,BTCUSDT,30m
