id,symbol,timeframe,ts,open,high,low,close,volume,source,created_at,updated_at
87805,BTCUSDT,30m,1755882000,116144.0,116992.1,116144.0,116921.7,176.08724226,influx,1758693318000,1758693318000
87804,BTCUSDT,30m,1755880200,116406.9,116526.2,116116.0,116144.0,127.10142375,influx,1758693318000,1758693318000
87803,BTCUSDT,30m,1755878400,116362.0,116777.2,116147.0,116407.0,295.46821948,influx,1758693318000,1758693318000
87802,BTCUSDT,30m,1755876600,116720.0,117287.5,116361.9,116361.9,196.89116353,influx,1758693318000,1758693318000
87801,BTCUSDT,30m,1755874800,115804.1,116970.5,115804.1,116719.1,206.43313988,influx,1758693318000,1758693318000
87800,BTCUSDT,30m,1755873000,115195.7,116103.0,115195.7,115804.7,341.57449569,influx,1758693318000,1758693318000
87799,BTCUSDT,30m,1755871200,112485.0,115753.3,112475.8,115195.6,579.4236387,influx,1758693318000,1758693318000
87798,BTCUSDT,30m,1755869400,112293.3,112650.4,111946.4,112483.6,185.49402644,influx,1758693318000,1758693318000
87797,BTCUSDT,30m,1755867600,112339.8,112522.7,112060.0,112293.3,161.1771339,influx,1758693318000,1758693318000
87796,BTCUSDT,30m,1755865800,112048.8,112715.6,111687.0,112339.8,186.19130704,influx,1758693318000,1758693318000
87795,BTCUSDT,30m,1755864000,112318.3,112351.0,112000.0,112048.7,57.57544547,influx,1758693318000,1758693318000
87794,BTCUSDT,30m,1755862200,112281.9,112380.0,112181.1,112318.2,38.83461643,influx,1758693318000,1758693318000
87793,BTCUSDT,30m,1755860400,112529.7,112614.4,112267.3,112281.9,66.23485762,influx,1758693318000,1758693318000
87792,BTCUSDT,30m,1755858600,112718.8,112718.9,112520.0,112529.6,50.66980169,influx,1758693318000,1758693318000
87791,BTCUSDT,30m,1755856800,113038.9,113048.2,112650.4,112718.8,53.52228586,influx,1758693318000,1758693318000
87790,BTCUSDT,30m,1755855000,112969.3,113107.8,112815.8,113038.8,69.36810105,influx,1758693318000,1758693318000
87789,BTCUSDT,30m,1755853200,112980.3,113002.1,112849.9,112969.3,67.41945435,influx,1758693318000,1758693318000
87788,BTCUSDT,30m,1755851400,113244.8,113259.7,112950.7,112980.2,61.93173053,influx,1758693318000,1758693318000
87787,BTCUSDT,30m,1755849600,113095.0,113318.1,113059.0,113244.9,58.25293898,influx,1758693318000,1758693318000
87786,BTCUSDT,30m,1755847800,113154.7,113200.0,113085.1,113095.0,46.26796824,influx,1758693318000,1758693318000
87785,BTCUSDT,30m,1755846000,112984.0,113247.8,112950.3,113154.7,99.6112409,influx,1758693318000,1758693318000
87784,BTCUSDT,30m,1755844200,113241.6,113268.7,112846.2,112983.9,58.96854517,influx,1758693318000,1758693318000
87783,BTCUSDT,30m,1755842400,113250.7,113382.4,113064.1,113241.5,59.11687436,influx,1758693318000,1758693318000
87782,BTCUSDT,30m,1755840600,112941.3,113268.5,112941.3,113250.7,44.47245101,influx,1758693318000,1758693318000
87781,BTCUSDT,30m,1755838800,112845.0,113060.1,112844.9,112941.3,40.45719852,influx,1758693318000,1758693318000
87780,BTCUSDT,30m,1755837000,113042.0,113195.6,112717.2,112844.9,52.93445386,influx,1758693318000,1758693318000
87779,BTCUSDT,30m,1755835200,112918.7,113248.1,112918.7,113042.1,125.80221396,influx,1758693318000,1758693318000
87778,BTCUSDT,30m,1755833400,113203.4,113292.0,112887.9,112918.7,102.55288287,influx,1758693318000,1758693318000
87777,BTCUSDT,30m,1755831600,113143.6,113433.0,113119.1,113203.3,56.99126111,influx,1758693318000,1758693318000
87776,BTCUSDT,30m,1755829800,113498.1,113498.1,113143.5,113143.6,71.99072028,influx,1758693318000,1758693318000
87775,BTCUSDT,30m,1755828000,112845.0,113504.0,112792.8,113502.9,104.16772237,influx,1758693318000,1758693318000
87774,BTCUSDT,30m,1755826200,112766.3,112917.9,112718.2,112845.0,57.4376983,influx,1758693318000,1758693318000
87773,BTCUSDT,30m,1755824400,112618.7,112769.1,112343.2,112766.2,77.69557844,influx,1758693318000,1758693318000
87772,BTCUSDT,30m,1755822600,112657.2,112830.1,112577.0,112618.7,87.95882214,influx,1758693318000,1758693318000
87771,BTCUSDT,30m,1755820800,112496.5,112777.0,112496.4,112657.5,54.29869832,influx,1758693318000,1758693318000
87770,BTCUSDT,30m,1755819000,112459.4,112496.5,112279.8,112496.5,16.4500403,influx,1758693318000,1758693318000
87769,BTCUSDT,30m,1755817200,112500.0,112500.0,112275.8,112459.2,19.45311659,influx,1758693318000,1758693318000
87768,BTCUSDT,30m,1755815400,112638.0,112638.0,112426.0,112499.9,23.19305825,influx,1758693318000,1758693318000
87767,BTCUSDT,30m,1755813600,112622.0,112710.6,112504.6,112639.0,21.91234739,influx,1758693318000,1758693318000
87766,BTCUSDT,30m,1755811800,112536.4,112730.1,112465.5,112622.1,36.27164601,influx,1758693318000,1758693318000
87765,BTCUSDT,30m,1755810000,112450.1,112629.9,112098.7,112536.5,70.6335653,influx,1758693318000,1758693318000
87764,BTCUSDT,30m,1755808200,112457.1,112869.2,112067.4,112450.1,128.70339044,influx,1758693318000,1758693318000
87763,BTCUSDT,30m,1755806400,112186.5,112460.0,112164.0,112457.1,139.30270522,influx,1758693318000,1758693318000
87762,BTCUSDT,30m,1755804600,112268.2,112271.1,112013.0,112186.4,81.46293243,influx,1758693318000,1758693318000
87761,BTCUSDT,30m,1755802800,112607.8,112719.9,112165.0,112268.2,96.99529267,influx,1758693317000,1758693317000
87760,BTCUSDT,30m,1755801000,112505.1,112671.9,112226.8,112607.9,51.602391,influx,1758693317000,1758693317000
87759,BTCUSDT,30m,1755799200,112405.1,112599.3,112246.3,112505.1,73.3134259,influx,1758693317000,1758693317000
87758,BTCUSDT,30m,1755797400,112250.4,112590.0,112204.7,112405.1,97.25825762,influx,1758693317000,1758693317000
87757,BTCUSDT,30m,1755795600,112374.5,112438.8,112213.4,112250.8,137.11694437,influx,1758693317000,1758693317000
87756,BTCUSDT,30m,1755793800,112730.0,112864.6,112315.7,112374.5,137.28270148,influx,1758693317000,1758693317000
87755,BTCUSDT,30m,1755792000,112791.1,112961.6,112633.5,112730.0,217.65198607,influx,1758693317000,1758693317000
87754,BTCUSDT,30m,1755790200,113036.5,113132.1,112765.0,112791.1,105.15315402,influx,1758693317000,1758693317000
87753,BTCUSDT,30m,1755788400,113273.1,113378.8,112606.7,113037.0,126.2596262,influx,1758693317000,1758693317000
87752,BTCUSDT,30m,1755786600,113746.4,113746.4,112927.9,113272.1,102.47397842,influx,1758693317000,1758693317000
87751,BTCUSDT,30m,1755784800,113478.1,113970.0,113358.4,113747.4,116.48842796,influx,1758693317000,1758693317000
87750,BTCUSDT,30m,1755783000,113312.6,113700.0,113140.3,113478.0,230.14479513,influx,1758693317000,1758693317000
87749,BTCUSDT,30m,1755781200,113094.4,113347.7,113058.6,113312.5,65.97557408,influx,1758693317000,1758693317000
87748,BTCUSDT,30m,1755779400,113227.6,113409.7,112956.1,113094.4,127.30070831,influx,1758693317000,1758693317000
87747,BTCUSDT,30m,1755777600,113151.3,113348.5,113039.5,113227.6,59.29491434,influx,1758693317000,1758693317000
87746,BTCUSDT,30m,1755775800,113466.2,113527.7,113000.0,113152.0,83.53769348,influx,1758693317000,1758693317000
87745,BTCUSDT,30m,1755774000,113329.1,113521.0,113329.1,113466.2,32.41710072,influx,1758693317000,1758693317000
87744,BTCUSDT,30m,1755772200,113443.0,113461.2,113293.9,113329.0,36.4311516,influx,1758693317000,1758693317000
87743,BTCUSDT,30m,1755770400,113386.3,113469.4,113231.1,113442.9,46.60917442,influx,1758693317000,1758693317000
87742,BTCUSDT,30m,1755768600,113434.7,113606.8,113386.2,113386.3,35.8250583,influx,1758693317000,1758693317000
87741,BTCUSDT,30m,1755766800,113596.0,113603.0,113313.1,113434.7,65.56478655,influx,1758693317000,1758693317000
87740,BTCUSDT,30m,1755765000,113764.2,113812.1,113596.2,113596.2,40.56372375,influx,1758693317000,1758693317000
87739,BTCUSDT,30m,1755763200,113899.0,113985.0,113682.6,113764.1,59.05995253,influx,1758693317000,1758693317000
87738,BTCUSDT,30m,1755761400,113711.3,113924.1,113666.6,113899.1,64.95226296,influx,1758693317000,1758693317000
87737,BTCUSDT,30m,1755759600,113805.7,113876.8,113583.0,113711.3,64.55836068,influx,1758693317000,1758693317000
87736,BTCUSDT,30m,1755757800,113628.7,113863.8,113628.7,113807.9,45.53382546,influx,1758693317000,1758693317000
87735,BTCUSDT,30m,1755756000,113991.9,113991.9,113627.8,113628.7,39.85931824,influx,1758693317000,1758693317000
87734,BTCUSDT,30m,1755754200,113750.0,114003.1,113747.0,113991.8,39.23380552,influx,1758693317000,1758693317000
87733,BTCUSDT,30m,1755752400,113810.8,113836.9,113644.0,113751.0,55.01916377,influx,1758693317000,1758693317000
87732,BTCUSDT,30m,1755750600,113912.3,114027.8,113810.7,113810.7,65.77357275,influx,1758693317000,1758693317000
87731,BTCUSDT,30m,1755748800,113963.0,114004.0,113882.6,113912.3,44.44736492,influx,1758693317000,1758693317000
87730,BTCUSDT,30m,1755747000,114222.0,114258.2,113962.9,113963.0,48.28296207,influx,1758693317000,1758693317000
87729,BTCUSDT,30m,1755745200,114037.3,114523.6,114030.2,114222.0,92.75007204,influx,1758693317000,1758693317000
87728,BTCUSDT,30m,1755743400,114004.7,114048.7,113910.0,114037.3,81.57856915,influx,1758693317000,1758693317000
87727,BTCUSDT,30m,1755741600,114722.9,114803.0,113904.8,114004.8,167.41325231,influx,1758693317000,1758693317000
87726,BTCUSDT,30m,1755739800,114104.7,114723.0,114104.7,114723.0,112.54493892,influx,1758693317000,1758693317000
87725,BTCUSDT,30m,1755738000,114292.4,114316.9,113956.2,114104.6,99.76577316,influx,1758693317000,1758693317000
87724,BTCUSDT,30m,1755736200,114058.1,114471.1,114058.1,114292.4,169.65470658,influx,1758693317000,1758693317000
87723,BTCUSDT,30m,1755734400,114256.9,114258.5,114017.8,114058.1,104.3809767,influx,1758693317000,1758693317000
87722,BTCUSDT,30m,1755732600,114235.6,114365.2,114220.3,114256.9,40.41372624,influx,1758693317000,1758693317000
87721,BTCUSDT,30m,1755730800,114592.8,114593.0,114224.1,114235.7,59.49132889,influx,1758693317000,1758693317000
87720,BTCUSDT,30m,1755729000,114383.0,114607.1,114309.0,114592.8,101.49308411,influx,1758693317000,1758693317000
87719,BTCUSDT,30m,1755727200,114356.1,114456.9,114212.2,114383.0,93.19063665,influx,1758693317000,1758693317000
87718,BTCUSDT,30m,1755725400,114015.9,114457.2,113999.9,114356.1,53.37276465,influx,1758693317000,1758693317000
87717,BTCUSDT,30m,1755723600,114362.2,114454.1,114002.8,114016.0,83.28844294,influx,1758693317000,1758693317000
87716,BTCUSDT,30m,1755721800,114116.0,114364.4,114115.9,114362.3,73.85512301,influx,1758693317000,1758693317000
87715,BTCUSDT,30m,1755720000,114267.3,114267.3,113999.9,114115.9,77.14339447,influx,1758693317000,1758693317000
87714,BTCUSDT,30m,1755718200,114057.7,114318.2,113906.7,114267.3,130.13816978,influx,1758693317000,1758693317000
87713,BTCUSDT,30m,1755716400,113489.2,114278.9,113476.0,114057.8,170.07809563,influx,1758693317000,1758693317000
87712,BTCUSDT,30m,1755714600,113330.3,113677.5,113270.6,113489.2,111.71013478,influx,1758693317000,1758693317000
87711,BTCUSDT,30m,1755712800,114195.4,114264.0,113301.2,113330.3,147.26796357,influx,1758693317000,1758693317000
87710,BTCUSDT,30m,1755711000,113795.1,114443.7,113781.4,114195.3,99.80843009,influx,1758693317000,1758693317000
87709,BTCUSDT,30m,1755709200,113835.7,114132.3,113792.1,113795.0,80.0523673,influx,1758693317000,1758693317000
87708,BTCUSDT,30m,1755707400,114267.4,114276.6,113772.9,113835.6,99.46451775,influx,1758693317000,1758693317000
87707,BTCUSDT,30m,1755705600,113351.3,114299.4,113287.5,114267.3,117.56714454,influx,1758693317000,1758693317000
87706,BTCUSDT,30m,1755703800,114308.5,114308.5,113232.9,113351.2,194.4051142,influx,1758693317000,1758693317000
87705,BTCUSDT,30m,1755702000,113466.0,114420.4,113394.0,114308.9,179.9720425,influx,1758693317000,1758693317000
87704,BTCUSDT,30m,1755700200,113143.0,113846.1,113143.0,113466.1,227.49188798,influx,1758693317000,1758693317000
87703,BTCUSDT,30m,1755698400,112687.6,113214.4,112380.5,113143.0,237.28751436,influx,1758693317000,1758693317000
87702,BTCUSDT,30m,1755696600,113433.0,113631.6,112600.3,112687.7,186.21548978,influx,1758693317000,1758693317000
87701,BTCUSDT,30m,1755694800,113665.9,113665.9,113261.6,113434.0,83.12268889,influx,1758693317000,1758693317000
87700,BTCUSDT,30m,1755693000,113720.0,113861.6,113665.9,113665.9,87.68092115,influx,1758693317000,1758693317000
87699,BTCUSDT,30m,1755691200,113660.5,113944.1,113524.5,113720.1,85.80525153,influx,1758693317000,1758693317000
87698,BTCUSDT,30m,1755689400,113455.5,113660.5,113060.9,113660.4,85.79860616,influx,1758693317000,1758693317000
87697,BTCUSDT,30m,1755687600,113795.2,113851.5,113455.5,113455.6,40.94120586,influx,1758693316000,1758693316000
87696,BTCUSDT,30m,1755685800,113595.1,113859.8,113595.0,113795.2,53.51113826,influx,1758693316000,1758693316000
87695,BTCUSDT,30m,1755684000,113698.4,113808.6,113595.0,113595.1,70.70554501,influx,1758693316000,1758693316000
87694,BTCUSDT,30m,1755682200,113797.9,113948.9,113639.1,113698.3,64.30787908,influx,1758693316000,1758693316000
87693,BTCUSDT,30m,1755680400,114018.4,114018.4,113775.6,113797.9,58.89056791,influx,1758693316000,1758693316000
87692,BTCUSDT,30m,1755678600,113846.5,114021.1,113807.5,114018.3,89.39595943,influx,1758693316000,1758693316000
87691,BTCUSDT,30m,1755676800,113479.8,113859.0,113406.1,113846.4,92.347698,influx,1758693316000,1758693316000
87690,BTCUSDT,30m,1755675000,113727.7,113727.8,113440.7,113479.7,58.81239886,influx,1758693316000,1758693316000
87689,BTCUSDT,30m,1755673200,113667.8,113836.4,113646.0,113727.7,98.31841078,influx,1758693316000,1758693316000
87688,BTCUSDT,30m,1755671400,113644.1,113734.2,113586.0,113667.8,52.05611454,influx,1758693316000,1758693316000
87687,BTCUSDT,30m,1755669600,113704.1,113729.1,113506.0,113644.2,55.12002055,influx,1758693316000,1758693316000
87686,BTCUSDT,30m,1755667800,113609.5,113767.0,113583.4,113704.1,51.70015976,influx,1758693316000,1758693316000
87685,BTCUSDT,30m,1755666000,113629.0,113633.6,113474.9,113609.5,47.64103975,influx,1758693316000,1758693316000
87684,BTCUSDT,30m,1755664200,113639.3,113694.0,113475.6,113628.9,93.90988628,influx,1758693316000,1758693316000
87683,BTCUSDT,30m,1755662400,113531.0,113659.0,113530.9,113639.2,93.2517911,influx,1758693316000,1758693316000
87682,BTCUSDT,30m,1755660600,113611.0,113634.4,113422.9,113530.9,103.05287449,influx,1758693316000,1758693316000
87681,BTCUSDT,30m,1755658800,113442.0,113610.3,113327.6,113610.3,60.69121398,influx,1758693316000,1758693316000
